username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,92500,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,49600,https://github.com/nvm-sh/nvm
junegunn,fzf,37400,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,27200,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,26600,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,25200,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,22600,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,21700,https://github.com/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,20800,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,17400,https://github.com/starship/starship
jaywcjlove,linux-command,16200,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,13400,https://github.com/Nyr/openvpn-install
powerline,powerline,12600,https://github.com/powerline/powerline
shelljs,shelljs,12500,https://github.com/shelljs/shelljs
Bash-it,bash-it,12300,https://github.com/Bash-it/bash-it
dylanaraps,neofetch,12000,https://github.com/dylanaraps/neofetch
faressoft,terminalizer,11700,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,11100,https://github.com/jessfraz/dockerfiles
denisidoro,navi,9400,https://github.com/denisidoro/navi
rgcr,m-cli,8500,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8400,https://github.com/alexanderepstein/Bash-Snippets
codota,TabNine,8300,https://github.com/codota/TabNine
kanaka,mal,7900,https://github.com/kanaka/mal
direnv,direnv,7600,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,7300,https://github.com/skywind3000/awesome-cheatsheets
angristan,openvpn-install,6400,https://github.com/angristan/openvpn-install
enquirer,enquirer,6000,https://github.com/enquirer/enquirer
Mayccoll,Gogh,5900,https://github.com/Mayccoll/Gogh
webpro,awesome-dotfiles,5900,https://github.com/webpro/awesome-dotfiles
carlospolop,privilege-escalation-awesome-scripts-suite,5700,https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite
