username,repo_name,stars,repo_url
electron,electron,94100,https://github.com/electron/electron
FiloSottile,mkcert,30700,https://github.com/FiloSottile/mkcert
microsoft,playwright,25300,https://github.com/microsoft/playwright
ovity,octotree,21400,https://github.com/ovity/octotree
segmentio,nightmare,18900,https://github.com/segmentio/nightmare
iamadamdev,bypass-paywalls-chrome,16500,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,16200,https://github.com/jaywcjlove/linux-command
prisma-archive,chromeless,13300,https://github.com/prisma-archive/chromeless
checkly,headless-recorder,13100,https://github.com/checkly/headless-recorder
google,WebFundamentals,12100,https://github.com/google/WebFundamentals
casesandberg,react-color,9800,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,8400,https://github.com/GoogleChrome/chrome-extensions-samples
uBlock-LLC,uBlock,8000,https://github.com/uBlock-LLC/uBlock
crimx,ext-saladict,7500,https://github.com/crimx/ext-saladict
alvarcarto,url-to-pdf-api,6400,https://github.com/alvarcarto/url-to-pdf-api
chromedp,chromedp,6400,https://github.com/chromedp/chromedp
kangvcar,InfoSpider,5600,https://github.com/kangvcar/InfoSpider
MetaMask,metamask-extension,5100,https://github.com/MetaMask/metamask-extension
yujiosaka,headless-chrome-crawler,5000,https://github.com/yujiosaka/headless-chrome-crawler
Kenshin,simpread,4800,https://github.com/Kenshin/simpread
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
MontFerret,ferret,4500,https://github.com/MontFerret/ferret
burtonator,polar-bookshelf,4300,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
mjswensen,themer,4200,https://github.com/mjswensen/themer
brookhong,Surfingkeys,3600,https://github.com/brookhong/Surfingkeys
bilibili-helper,bilibili-helper-o,3600,https://github.com/bilibili-helper/bilibili-helper-o
gildas-lormeau,SingleFile,3400,https://github.com/gildas-lormeau/SingleFile
melonjs,melonJS,3400,https://github.com/melonjs/melonJS
lmk123,crx-selection-translate,3300,https://github.com/lmk123/crx-selection-translate
