username,repo_name,stars,repo_url
ccxt,ccxt,20100,https://github.com/ccxt/ccxt
hubotio,hubot,15900,https://github.com/hubotio/hubot
python-telegram-bot,python-telegram-bot,15700,https://github.com/python-telegram-bot/python-telegram-bot
timgrossmann,InstaPy,12900,https://github.com/timgrossmann/InstaPy
discordjs,discord.js,12700,https://github.com/discordjs/discord.js
RasaHQ,rasa,11600,https://github.com/RasaHQ/rasa
gunthercox,ChatterBot,11300,https://github.com/gunthercox/ChatterBot
howdyai,botkit,10400,https://github.com/howdyai/botkit
botpress,botpress,9300,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8400,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,7600,https://github.com/leon-ai/leon
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,ailab,6600,https://github.com/microsoft/ailab
microsoft,botframework-sdk,6600,https://github.com/microsoft/botframework-sdk
tgbot-collection,YYeTsBot,6400,https://github.com/tgbot-collection/YYeTsBot
maxbbraun,trump2cash,6000,https://github.com/maxbbraun/trump2cash
botman,botman,5500,https://github.com/botman/botman
yagop,node-telegram-bot-api,5400,https://github.com/yagop/node-telegram-bot-api
deepmipt,DeepPavlov,5300,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,4700,https://github.com/telegraf/telegraf
axa-group,nlp.js,4500,https://github.com/axa-group/nlp.js
jef,streetmerchant,4300,https://github.com/jef/streetmerchant
ohld,igbot,4000,https://github.com/ohld/igbot
PokemonGoF,PokemonGo-Bot,3700,https://github.com/PokemonGoF/PokemonGo-Bot
Yoctol,bottender,3700,https://github.com/Yoctol/bottender
snipsco,snips-nlu,3500,https://github.com/snipsco/snips-nlu
goq,telegram-list,3100,https://github.com/goq/telegram-list
orkestral,venom,2800,https://github.com/orkestral/venom
jesse-ai,jesse,2700,https://github.com/jesse-ai/jesse
chrisleekr,binance-trading-bot,2600,https://github.com/chrisleekr/binance-trading-bot
